Season,Date,Time,Home,Away,HG,AG,Res,Referee,Home_Shots,Away_Shots,Home_Shots_Target,Away_Shots_Target,Home_Corners,Away_Corners,Home_Fouls,Away_Fouls,Home_Yellow_Cards,Away_Yellow_Cards,Home_Red_Cards,Away_Red_Cards,Home_Prior_Matches,Away_Prior_Matches,Home_Prior_Home_Matches,Away_Prior_Away_Matches,Home_Pts_Last5,Away_Pts_Last5,Home_GS_Last5,Home_GC_Last5,Away_GS_Last5,Away_GC_Last5,Home_GD_Last5,Away_GD_Last5,Home_Home_Pts_Last5,Home_Home_GS_Last5,Home_Home_GC_Last5,Away_Away_Pts_Last5,Away_Away_GS_Last5,Away_Away_GC_Last5,Pts_Diff,GD_Diff,Home_Venue_Pts_Diff,Venue_GD_Diff,Home_Shots_Last5,Away_Shots_Last5,Home_ShotsTarget_Last5,Away_ShotsTarget_Last5,Home_Corners_Last5,Away_Corners_Last5,Home_Fouls_Last5,Away_Fouls_Last5,Home_Yellow_Last5,Away_Yellow_Last5,Home_Red_Last5,Away_Red_Last5,Home_Shots_Against_Last5,Away_Shots_Against_Last5,Home_ShotsTarget_Against_Last5,Away_ShotsTarget_Against_Last5,Home_Corners_Against_Last5,Away_Corners_Against_Last5,Home_Fouls_Against_Last5,Away_Fouls_Against_Last5,Home_Yellow_Against_Last5,Away_Yellow_Against_Last5,Home_Red_Against_Last5,Away_Red_Against_Last5,Home_Home_Shots_Last5,Away_Away_Shots_Last5,Home_Home_ShotsTarget_Last5,Away_Away_ShotsTarget_Last5,Home_Home_Corners_Last5,Away_Away_Corners_Last5,Home_Home_Fouls_Last5,Away_Away_Fouls_Last5,Home_Home_Yellow_Last5,Away_Away_Yellow_Last5,Home_Home_Red_Last5,Away_Away_Red_Last5,Shots_Diff,ShotsTarget_Diff,Corners_Diff,Fouls_Diff,Yellow_Diff,Red_Diff,Home_Elo,Away_Elo,Elo_Diff,H2H_Prior_Matches,H2H_Home_Pts_Last5,H2H_Away_Pts_Last5,H2H_Home_GS_Last5,H2H_Away_GS_Last5,H2H_Pts_Diff,H2H_GD_Diff,Referee_Prior_Matches,Referee_Avg_Goals_Last10,Referee_Avg_Yellows_Last10,Referee_Avg_Reds_Last10,Referee_Home_Win_Rate_Last10
2015/16,2015-08-24,,Arsenal,Liverpool,0,0,D,M Oliver,19,15,5,8,7,8,2,13,1,4,0,0,2,2,1,1,3,6,2,3,2,0,-1,2,0,0,2,3,1,0,-3,-3,-3,-3,42,26,13,5,11,11,24,27,2,5,0,0,19,20,8,3,10,11,23,27,4,6,0,0,22,8,6,3,5,5,12,16,1,4,0,0,16,8,0,-3,-3,0,1500.6641633125025,1519.3358366874975,-18.671673374994953,0,0,0,0,0,0,0,2,3.5,5.0,0.5,0.0
2015/16,2015-08-29,,Aston Villa,Sunderland,2,2,D,R Madley,21,7,6,3,5,4,10,14,2,1,0,0,3,3,1,1,3,1,2,3,4,8,-1,-4,0,0,1,0,2,4,2,3,0,1,23,26,6,9,10,12,42,40,9,9,0,0,36,58,10,23,17,16,35,29,8,6,0,0,5,10,1,5,3,3,14,17,2,4,0,0,-3,-3,-2,2,0,0,1492.6396810675024,1477.8641434883177,14.775537579184629,0,0,0,0,0,0,0,1,4.0,4.0,0.0,0.0
2015/16,2015-08-29,,Bournemouth,Leicester,1,1,D,N Swarbrick,5,4,2,2,4,4,9,19,2,4,0,0,3,3,1,1,3,7,4,5,7,4,-1,3,0,0,1,3,2,1,-4,-4,-3,-2,39,43,11,16,18,12,42,32,7,6,0,0,35,39,9,14,14,18,32,42,5,9,1,1,11,11,2,6,6,4,13,12,3,3,0,0,-4,-5,6,10,1,0,1493.9661426944172,1516.5641585354754,-22.598015841058213,0,0,0,0,0,0,0,1,2.0,6.0,0.0,0.0
2015/16,2015-08-29,,Chelsea,Crystal Palace,1,2,A,C Pawson,26,13,9,6,7,7,9,15,1,1,0,0,3,3,1,1,4,6,5,7,6,4,-2,2,1,2,2,3,3,1,-2,-4,-2,-2,36,38,11,17,12,16,40,46,4,4,2,0,51,48,24,15,21,11,44,41,9,5,0,0,11,11,3,7,4,4,15,20,1,0,1,0,-2,-6,-4,-6,0,2,1503.2097258941276,1506.548235042498,-3.338509148370349,0,0,0,0,0,0,0,3,1.6666666666666667,5.0,0.0,0.3333333333333333
2015/16,2015-08-29,,Liverpool,West Ham,0,3,A,K Friend,13,12,1,5,5,7,17,11,3,1,1,1,3,3,1,1,7,3,2,0,6,6,2,0,3,1,0,3,2,0,4,2,0,-1,41,28,13,11,19,17,40,28,9,4,0,2,39,48,8,19,18,13,29,35,7,4,0,0,18,8,2,4,6,4,11,9,1,3,0,0,13,2,2,12,5,-2,1521.6348163882976,1486.5501000405882,35.084716347709445,0,0,0,0,0,0,0,1,4.0,3.0,0.0,0.0
2015/16,2015-08-29,,Man City,Watford,2,0,H,M Clattenburg,18,7,5,0,9,3,9,12,1,2,0,0,3,3,1,1,9,3,8,0,2,2,8,0,3,3,0,1,2,2,6,8,2,3,53,40,24,10,18,9,35,36,8,3,0,0,29,30,6,10,15,14,30,28,6,5,0,0,18,11,8,5,5,2,19,13,4,2,0,0,13,14,9,-1,5,0,1532.140534382544,1496.5340261913436,35.60650819120042,0,0,0,0,0,0,0,2,3.0,5.0,0.5,0.0
2015/16,2015-08-29,,Newcastle,Arsenal,0,1,A,A Marriner,1,22,0,9,0,9,15,8,6,1,1,0,3,3,1,1,2,4,2,4,2,3,-2,-1,1,2,2,3,2,1,-2,-1,-2,-1,20,61,6,18,15,18,28,26,5,3,1,0,54,34,19,16,21,18,38,36,8,8,0,0,9,20,4,7,6,6,9,12,2,1,0,0,-41,-12,-3,2,2,1,1493.7242589733924,1498.3651836117024,-4.640924638310025,0,0,0,0,0,0,0,1,0.0,2.0,0.0,0.0
2015/16,2015-08-29,,Stoke,West Brom,0,1,A,M Oliver,13,15,5,5,6,5,4,9,1,4,2,0,3,3,1,1,2,1,3,4,2,6,-1,-4,0,0,1,1,0,0,1,3,-1,-1,29,30,9,8,6,18,25,31,5,8,0,0,42,50,17,17,18,15,47,34,10,3,0,1,7,6,1,0,3,4,9,10,2,2,0,0,-1,1,-12,-6,-3,0,1493.2122639218746,1477.6071259020123,15.605138019862352,0,0,0,0,0,0,0,3,2.3333333333333335,5.0,0.3333333333333333,0.0
2015/16,2015-08-29,,Tottenham,Everton,0,0,D,M Jones,20,8,6,3,6,2,20,9,4,1,0,0,3,3,1,1,2,4,3,4,5,4,-1,1,1,2,2,3,3,0,-2,-2,-2,-3,41,30,17,10,13,25,41,22,9,3,0,0,38,44,10,18,6,18,30,31,5,9,0,0,13,10,7,4,4,9,15,10,2,2,0,0,11,7,-12,19,6,0,1493.4358414645246,1497.598960296883,-4.16311883235835,0,0,0,0,0,0,0,2,3.0,3.0,0.5,0.5
2015/16,2015-08-30,,Southampton,Norwich,3,0,H,J Moss,23,6,8,1,6,4,4,12,0,0,0,1,3,3,1,1,2,4,2,5,5,5,-3,0,0,0,3,3,3,1,-2,-3,-3,-5,46,57,14,19,17,16,34,37,10,7,0,0,32,23,8,10,20,10,29,32,4,2,0,0,17,19,4,6,9,6,11,7,4,2,0,0,-11,-5,1,-3,3,0,1492.9096273330892,1497.0835772331197,-4.173949900030493,0,0,0,0,0,0,0,2,4.0,2.5,0.5,0.5
